GOTOWIEC INWESTYCYJNY DWUPAK 	490 000 zł	12/04/2019	Praga Południe, 
    
    
        Warszawa	Agencja	Mieszkanie	3 pokoje	2 łazienki	83Mieszkanie - Warszawa > Wola > Siedmiogrodzka	923 000 zł	17/04/2019	Wola, 
    
    
        Warszawa	Agencja	Mieszkanie	3 pokoje	71Mieszkanie - Warszawa > Praga-Północ > Szmulki > Białostocka	570 000 zł	17/04/2019	Praga Północ, 
    
    
        Warszawa	Agencja	Mieszkanie	3 pokoje	1 łazienka	74Mieszkanie - Warszawa > Wola > Grzybowska	480 000 zł	17/04/2019	Wola, 
    
    
        Warszawa	Agencja	Mieszkanie	3 pokoje	1 łazienka	48Mokotów 2 pokojowe mieszkanie 57 m2 z logią w apartamentowcu przy Al. Wyścigowej za 550000 zł	550 000 zł	17/04/2019	Mokotów, 
    
    
        Warszawa	Agencja	Mieszkanie	2 pokoje	2 łazienki	57Mieszkanie - Warszawa > Ursynów > Pląsy	824 000 zł	17/04/2019	Ursynów, 
    
    
        Warszawa	Agencja	Mieszkanie	3 pokoje	2 łazienki	104DOM w  zabudowie bliźniaczej w podwarszawskiej Magdalence 	2 500 000 zł	12/04/2019	Raszyn, 
    
    
        Pd - zach powiaty	Właściciel	Dom	6 lub więcej pokoi	2 łazienki	275	GarażMieszkanie Warszawa Ursynów 84.6m2 (nr: 247)	668 000 zł	01/04/2019	Ursynów, 
    
    
        Warszawa	Agencja	Mieszkanie	4 pokoje	85	UlicaNowe 3 pok. 69m w Józefosławiu, garaż, komórka	535 000 zł	18/03/2019	Piaseczno, 
    
    
        Południowe powiaty	Właściciel	Mieszkanie	3 pokoje	1 łazienka	69	GarażKawalerka na Żoliborzu, blisko metra	320 000 zł	17/04/2019	Żoliborz, 
    
    
        Warszawa	Agencja	Mieszkanie	Kawalerka lub garsoniera	1 łazienka	30Komfortowe 3 -pokojowe,Praga Południe, 68m2, SPRZEDAM lub ZAMIENIĘ	466 732 zł	17/04/2019	Praga Południe, 
    
    
        Warszawa	Właściciel	Mieszkanie	3 pokoje	1 łazienka	68PIĘKNE, 3-pok., Saska Kępa, SPRZEDAM, ZAMIENIĘ	597 246 zł	17/04/2019	Praga Południe, 
    
    
        Warszawa	Właściciel	Mieszkanie	3 pokoje	1 łazienka	47Mieszkanie jak dom, wysoki standard wykończenia	890 000 zł	17/04/2019	Wawer, 
    
    
        Warszawa	Właściciel	Mieszkanie	4 pokoje	2 łazienki	169	GarażDwustronne mieszkanie 3 pok. przy Aspekt	499 000 zł	17/04/2019	Bielany, 
    
    
        Warszawa	Agencja	Mieszkanie	3 pokoje	2 łazienki	60Mieszkanie w stanie deweloperskim z tarasem na dachu budynku! WOLA	676 000 zł	17/04/2019	Wola, 
    
    
        Warszawa	Agencja	Mieszkanie	3 pokoje	1 łazienka	55INWESTYCJA CASCADE RESIDENCE MOKOTÓW!	621 320 zł	17/04/2019	Mokotów, 
    
    
        Warszawa	Agencja	Mieszkanie	Kawalerka lub garsoniera	1 łazienka	44Kawalerka z balkonem w nowej aranżacji - w pobliżu Metra	308 000 zł	17/04/2019	Wola, 
    
    
        Warszawa	Agencja	Mieszkanie	Kawalerka lub garsoniera	252 pokoje z oddzielną kuchnią na Tarchominie!	499 000 zł	17/04/2019	Białołęka, 
    
    
        Warszawa	Agencja	Mieszkanie	2 pokoje	1 łazienka	744 pokoje! URSUS!	400 000 zł	17/04/2019	Ursus, 
    
    
